,date,available,total,profit
188,2020-10-16,4593.688999999994,99904.689,-95.31100000000151
189,2020-10-19,4593.688999999994,99904.689,-95.31100000000151
190,2020-10-20,4593.688999999994,99904.689,-95.31100000000151
191,2020-10-21,4593.688999999994,99904.689,-95.31100000000151
192,2020-10-22,4593.688999999994,99904.689,-95.31100000000151
193,2020-10-23,4593.688999999994,99904.689,-95.31100000000151
194,2020-10-26,4593.688999999994,99904.689,-95.31100000000151
195,2020-10-27,4593.688999999994,99904.689,-95.31100000000151
196,2020-10-28,4593.688999999994,99904.689,-95.31100000000151
197,2020-10-29,4593.688999999994,99904.689,-95.31100000000151
198,2020-10-30,4593.688999999994,99904.689,-95.31100000000151
199,2020-11-02,4593.688999999994,99904.689,-95.31100000000151
200,2020-11-03,4593.688999999994,99904.689,-95.31100000000151
201,2020-11-04,4593.688999999994,99904.689,-95.31100000000151
202,2020-11-05,4593.688999999994,99904.689,-95.31100000000151
203,2020-11-06,4593.688999999994,99904.689,-95.31100000000151
204,2020-11-09,4593.688999999994,99904.689,-95.31100000000151
205,2020-11-10,4593.688999999994,99904.689,-95.31100000000151
206,2020-11-11,4593.688999999994,99904.689,-95.31100000000151
207,2020-11-12,4593.688999999994,99904.689,-95.31100000000151
208,2020-11-13,4593.688999999994,99904.689,-95.31100000000151
209,2020-11-16,4593.688999999994,99904.689,-95.31100000000151
210,2020-11-17,4593.688999999994,99904.689,-95.31100000000151
211,2020-11-18,4593.688999999994,99904.689,-95.31100000000151
212,2020-11-19,4593.688999999994,99904.689,-95.31100000000151
213,2020-11-20,4593.688999999994,99904.689,-95.31100000000151
214,2020-11-23,4593.688999999994,99904.689,-95.31100000000151
215,2020-11-24,4593.688999999994,99904.689,-95.31100000000151
216,2020-11-25,4593.688999999994,99904.689,-95.31100000000151
217,2020-11-26,4593.688999999994,99904.689,-95.31100000000151
218,2020-11-27,4593.688999999994,99904.689,-95.31100000000151
219,2020-11-30,4593.688999999994,99904.689,-95.31100000000151
220,2020-12-01,4593.688999999994,99904.689,-95.31100000000151
221,2020-12-02,4593.688999999994,99904.689,-95.31100000000151
222,2020-12-03,4593.688999999994,99904.689,-95.31100000000151
223,2020-12-04,4593.688999999994,99904.689,-95.31100000000151
224,2020-12-07,4593.688999999994,99904.689,-95.31100000000151
225,2020-12-08,4593.688999999994,99904.689,-95.31100000000151
226,2020-12-09,4593.688999999994,99904.689,-95.31100000000151
227,2020-12-10,4593.688999999994,99904.689,-95.31100000000151
228,2020-12-11,4593.688999999994,99904.689,-95.31100000000151
229,2020-12-14,4593.688999999994,99904.689,-95.31100000000151
230,2020-12-15,4593.688999999994,99904.689,-95.31100000000151
231,2020-12-16,4593.688999999994,99904.689,-95.31100000000151
232,2020-12-17,4593.688999999994,99904.689,-95.31100000000151
233,2020-12-18,4593.688999999994,99904.689,-95.31100000000151
234,2020-12-21,4593.688999999994,99904.689,-95.31100000000151
235,2020-12-22,4593.688999999994,99904.689,-95.31100000000151
236,2020-12-23,4593.688999999994,99904.689,-95.31100000000151
237,2020-12-24,4593.688999999994,99904.689,-95.31100000000151
238,2020-12-25,4593.688999999994,99904.689,-95.31100000000151
239,2020-12-28,4593.688999999994,99904.689,-95.31100000000151
240,2020-12-29,4593.688999999994,99904.689,-95.31100000000151
241,2020-12-30,4593.688999999994,99904.689,-95.31100000000151
242,2020-12-31,4593.688999999994,99904.689,-95.31100000000151
