股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sh600004,白云机场,2013-08-07,,,,6.12,6.19,6.12,6.15,9.586214405617543,3.651903299710973,0.0,3142052.0,19338563.0,0.002732,7072500000.0,7072500000.0,0,0,8.21047585142331,1.4593800247723734,3.899200939384589,0.9347474631244213,3.6364636574872122,3.608903441399124,3.6176061784907594,3.5884101010525806,3.713027405083437,,-0.004452973481799294,-0.016952278943745243,0.024998610923891898,,47.94849881370039,35.20814752197905,73.42920139714307,,3.6132293905085056,3.70598830571619,3.520470475300821,66.66666666666666,61.11111111111111,66.20939073160419,55.61716836258259,48.99678556346284,0.011382113821138296,0.9511862446335457
sh600004,白云机场,2013-08-06,,,,6.14,6.18,6.09,6.15,9.586214405617543,3.651903299710973,0.0032630000000000003,3881719.0,23793307.0,0.003375,7072500000.0,7072500000.0,0,0,8.21047585142331,1.4593800247723734,3.899200939384589,0.9347474631244213,3.6222122981041727,3.606907225658844,3.6132293905085056,3.5834274444423113,3.7162606800284186,5日、10日均线金叉；5日、20日均线金叉；10日、20日均线死叉；,-0.008189808712626423,-0.02007710530923173,0.02377459319321061,,30.256081553883917,28.837971876118388,33.09230090941497,金叉,3.6043478605429145,3.716929281744336,3.491766439341493,75.0,58.33333333333332,66.2093907316042,55.61716836258259,48.99678556346284,0.014681897560975488,1.2784910552833597
sh600004,白云机场,2013-08-05,,,,6.12,6.14,6.08,6.13,9.555036322098532,3.6400258952148863,0.004918,2273010.0,13894439.0,0.001977,7049500000.0,7049500000.0,0,0,8.183775116947135,1.4546340734723004,3.886520611126428,0.9317076339760492,3.602023028506463,3.6066004206390887,3.6043478605429145,3.5790078784432,3.7194001243773616,,-0.012840244825971237,-0.023048929458383053,0.020417369264823633,,26.86560381230734,28.128917037235624,24.338977362450777,,3.595215562882295,3.7341568721032776,3.4562742536613125,66.66666666666666,52.77777777777777,63.11767606688563,54.03505222924034,48.1761641623092,0.009836065252854853,0.8709021418351196
sh600004,白云机场,2013-08-02,,,,6.1,6.16,6.08,6.1,9.508274627480585,3.6222118573006816,0.0016420000000000002,4186972.0,25583928.0,0.0036409999999999997,7015000000.0,7015000000.0,0,0,8.143724015232875,1.4475151465221914,3.8675001187391858,0.927147890253491,3.583021658427955,3.6018504308211883,3.595215562882295,3.574984225927291,3.7237698550535083,5日、30日均线金叉；,-0.0173797894462977,-0.025601100616486003,0.016442622340376606,,23.934769354824667,28.76057364969976,14.283160765074477,,3.5917601760223703,3.739226773990092,3.4442935780546486,58.333333333333336,50.0,58.35531221433159,51.66626545688649,46.94930766739435,0.013136288524590145,1.4701291770100737
sh600004,白云机场,2013-08-01,,,,6.04,6.11,6.01,6.09,9.492687634384923,3.6162739354985933,0.00995,3032739.0,18423213.0,0.002637,7003500000.0,7003500000.0,0,0,8.130373647994789,1.4451421708721552,3.861159954610105,0.9256279756793048,3.5770838821949766,3.595503177678721,3.5917601760223703,3.5771853417657584,3.7289995962362554,5日、30日均线死叉；,-0.021107309236666705,-0.02765642840903308,0.013098238344732747,,22.26579039587341,31.173475797137304,4.450419593345622,,3.588320193168557,3.7481882090979863,3.428452177239128,50.0,50.0,56.80607536961653,50.893004463628564,46.54506634844561,0.016583743842364496,1.1727675938399227
sh600004,白云机场,2013-07-31,,,,6.02,6.04,6.01,6.03,9.399165933348113,3.580646502795775,0.008361,1806421.0,10889208.0,0.0015710000000000001,6934500000.0,6934500000.0,0,0,8.050271444566269,1.4309043169719369,3.8231189698356216,0.9165084882341886,3.581343225311008,3.5953805143950897,3.588320193168557,3.579396697739433,3.734422179244386,5日、20日均线死叉；,-0.024953376142174744,-0.02929370820212467,0.008680664119899852,,20.67141286653741,35.62731849776925,-9.240398395926277,,3.5858168905769916,3.764869290363921,3.4067644907900623,50.0,51.388888888888886,46.935817675387504,46.15515359557925,44.09565421674227,0.005016721393034773,0.5921158902600167
sh600004,白云机场,2013-07-30,,,,5.97,6.03,5.96,5.98,9.321231119954176,3.550956951722424,0.001675,1750602.0,10492756.0,0.0015220000000000001,6877000000.0,6877000000.0,0,0,7.983519608375835,1.4190394387217549,3.7914181491902186,0.9089089153632584,3.591602153213487,3.601072978433598,3.5858168905769916,3.5846725740447627,3.7400631677789296,20日、30日均线金叉；,-0.025871877464304305,-0.030378791217112143,0.009013827505615676,,23.73439202707883,43.105271313385174,-15.007366545533856,,3.585642718984173,3.7823694123319536,3.3889160256363926,50.0,52.77777777777777,36.926879692795254,41.87103851868695,41.972184925625115,0.011725292642140506,0.4822313407591623
sh600004,白云机场,2013-07-29,,,,6.05,6.05,5.95,5.97,9.305644165976164,3.5450190448223458,-0.013222999999999999,3463416.0,20734527.0,0.003012,6865500000.0,6865500000.0,0,0,7.9701692411377465,1.4166664630717185,3.785077985061138,0.9073890007890724,3.611177812771686,3.612549673536756,3.585642718984173,3.5930027300916536,3.7454481896728695,,-0.023644964824871995,-0.031505519655314104,0.01572110966088422,,32.8743153133455,52.79071095653834,-6.958475973040194,,3.586047026322793,3.801419493254318,3.370674559391268,41.66666666666667,54.16666666666666,34.87972211112064,41.010575243928066,41.546629313392614,0.016528927973199492,0.8036439238544286
sh600004,XD白云机,2013-07-26,,,,6.13,6.13,6.04,6.05,9.430341572590528,3.5925229761357893,-0.012384000000000001,2876660.0,17490813.0,0.002501,6957500000.0,6957500000.0,0,0,8.076972179042443,1.4356502682720094,3.835799298093783,0.9195483173825608,3.6206792032143924,3.6218046808327586,3.586047026322793,3.601343079015327,3.7507445090688436,,-0.01985410086508166,-0.033470658362924635,0.027233114995685953,,47.525758684304,62.74890877813477,17.07945849664246,,3.583512984196497,3.8224996995186133,3.3445262688743806,50.0,56.94444444444443,44.51115048892681,46.004573562046744,44.021772885246676,0.014691808264462702,0.6764257174675314
sh600004,白云机场,2013-07-25,,,,6.47,6.49,6.42,6.46,9.54859132759142,3.637570651078749,0.00155,5356849.0,34602042.0,0.004658,7429000000.0,7429000000.0,0,0,8.624337235803996,1.5329422699235011,4.095746027386088,0.9818648149241888,3.613922473162437,3.6240567612181054,3.583512984196497,3.6080999635618856,3.7558122178243134,5日、30日均线金叉；,-0.019563556950280336,-0.036874797737385376,0.03462248157421008,,70.24697135978936,70.36048382505015,70.01994642926775,,3.5781634308792873,3.84352934909804,3.3127975126605347,58.333333333333336,58.333333333333314,56.93508812094573,51.45084538388903,46.54156679744072,0.01085270897832813,1.2772706886368823
sh600004,白云机场,2013-07-24,,,,6.5,6.5,6.4,6.45,9.533813916021588,3.6319411423081713,-0.00463,4703533.0,30329218.0,0.00409,7417500000.0,7417500000.0,0,0,8.61098686856591,1.5305692942734648,4.089405863257008,0.9803449003500028,3.6094178034791424,3.6263089155824204,3.5781634308792873,3.6129798892761666,3.7600352951256766,10日、30日均线金叉；,-0.02349482879212239,-0.04120260793416163,0.03541555828407848,,69.65617132539823,70.41724005768056,68.13403386083357,死叉,3.5716875538340234,3.870289125194927,3.2730859824731198,58.333333333333336,58.333333333333314,55.64582419879216,50.78339417804544,46.172575770144135,0.015432093023255766,1.3263447239231487
sh600004,白云机场,2013-07-23,,,,6.39,6.49,6.35,6.48,9.578160800528034,3.6488352495134175,0.015674,5147742.0,33204015.0,0.004476,7452000000.0,7452000000.0,0,0,8.65103797028017,1.5376882212235738,4.10842635564425,0.984904644072561,3.6105438036536794,3.619551555358192,3.5716875538340234,3.6212382533599787,3.7637891149905953,5日、10日均线死叉；,-0.027597631903911957,-0.04562955271967144,0.03606384163151896,,71.15092365476387,70.79777442382174,71.85722211664816,金叉,3.5652116073452342,3.8934682917580044,3.236954922932464,58.333333333333336,59.72222222222221,60.14912638551534,52.77947967537534,47.107707711183664,0.0219435740740741,1.7469341940209504
sh600004,白云机场,2013-07-22,,,,6.32,6.39,6.31,6.38,9.430349502426992,3.5925259970358785,0.009493999999999999,3178896.0,20181480.0,0.002764,7337000000.0,7337000000.0,0,0,8.517534297899303,1.51395846472321,4.045024714353444,0.9697054983307004,3.6139215343017974,3.6020953004467637,3.5652116073452342,3.6293088277529795,3.7683875712992063,,-0.03415300778161834,-0.050137532923611304,0.03196905028398593,,65.81729457305472,70.62119980835065,56.20948410246288,,3.5615511234803217,3.921814374571474,3.201287872389169,58.333333333333336,61.11111111111111,48.593969341050716,46.3347192767141,43.44933800221743,0.012658231974921663,1.4317398509788846
sh600004,白云机场,2013-07-19,,,,6.42,6.45,6.31,6.32,9.341659784433581,3.558739325876012,-0.015576,2582885.0,16474454.0,0.002246,7268000000.0,7268000000.0,0,0,8.437432094470783,1.4997206108229917,4.00698372957896,0.9605860108855842,3.6229301584510964,3.5885806949434267,3.5615511234803217,3.6407579612290677,3.773267571278652,,-0.03628997444553583,-0.05413366420910954,0.035687379527147414,,69.3141771536997,73.02315242599862,61.89622660910189,死叉,3.5680264238092563,3.937606105363152,3.1984467422553604,58.333333333333336,62.5,39.87705805529897,41.97923402357738,41.10704744062197,0.021806860759493785,1.3474700345422603
sh600004,白云机场,2013-07-18,,,,6.46,6.46,6.38,6.42,9.489467733856127,3.61504730266228,-0.0061920000000000005,2118130.0,13569917.0,0.001842,7383000000.0,7383000000.0,0,0,8.570935766851651,1.5234503673233557,4.070385370869766,0.9757851566274446,3.6341910492737455,3.588017174366044,3.5680264238092563,3.6544595456085553,3.77758450818891,,-0.0350495693865418,-0.058594586650002965,0.04709003452692233,,79.61229137157514,74.87764006214809,89.08159399042924,,3.5714047894115835,3.9514187085559014,3.1913908702672655,58.333333333333336,63.888888888888886,52.160999285994,47.92083490313496,44.01900046218259,0.012383900311526475,1.1292352251998272
sh600004,白云机场,2013-07-17,,,,6.51,6.51,6.45,6.46,9.548592619355173,3.637571143180857,-0.0076799999999999985,1705993.0,11069434.0,0.001483,7429000000.0,7429000000.0,0,0,8.624337235803996,1.5329422699235011,4.095746027386088,0.9818648149241888,3.643200027685668,3.5812598719420494,3.5714047894115835,3.6677857450777416,3.7814322441158317,10日、20日均线金叉；,-0.03868972537476845,-0.06448084096586826,0.05158223118219962,,82.2389498778755,72.51031440743456,101.69622081875738,,3.5764723718503246,3.961976358316053,3.190968385384596,58.333333333333336,63.888888888888886,58.130070247353004,50.54398030554563,45.24772329018626,0.00921659442724454,0.7269999868747412
sh600004,白云机场,2013-07-16,,,,6.46,6.52,6.43,6.51,9.622493368424674,3.665723902754007,0.00774,1515610.0,9809459.0,0.001318,7486500000.0,7486500000.0,0,0,8.69108907199443,1.544807148173683,4.127446848031491,0.989464387795119,3.628559307062674,3.57056080272041,3.5764723718503246,3.6788595128353676,3.78518611669572,,-0.045066464956181385,-0.07092861986364321,0.05172430981492365,,81.05073250912089,67.6459966722141,107.86020418293447,,3.5832292583690815,3.9695572162604456,3.1969013004777174,66.66666666666666,62.5,65.99652788830073,53.926083338909095,46.812941169405924,0.013931889400921715,0.6553838415479479
sh600004,白云机场,2013-07-15,,,,6.43,6.51,6.42,6.46,9.548587302701764,3.637569117782372,0.006231,1661584.0,10739751.0,0.0014449999999999999,7429000000.0,7429000000.0,0,0,8.624337235803996,1.5329422699235011,4.095746027386088,0.9818648149241888,3.5902690665916994,3.5587357644316158,3.5832292583690815,3.6884317002794074,3.7880015433387433,5日、20日均线金叉；,-0.05541645405181539,-0.07739415859050866,0.04395540907738654,,72.85815004573259,60.9436287537607,96.68719262967635,,3.59111227810659,3.9800489028366983,3.202175653376482,66.66666666666666,59.72222222222223,61.67417893423629,50.91510269391768,44.98915367943868,0.014018698142414632,0.7462100597952825
sh600004,白云机场,2013-07-12,,,,6.5,6.51,6.4,6.42,9.489458486870074,3.615043779989258,-0.012308,2377287.0,15350586.0,0.0020670000000000003,7383000000.0,7383000000.0,0,0,8.570935766851651,1.5234503673233557,4.070385370869766,0.9757851566274446,3.5542312314357267,3.550289371812853,3.59111227810659,3.699130014334604,3.790723118451979,5日、10日均线金叉；,-0.06495407724146984,-0.08288858472518197,0.035869014967424256,,66.97953276090652,54.98636810777475,90.96586206717006,,3.6001215647337537,3.9923394409899644,3.207903688477543,66.66666666666666,56.94444444444445,58.1253452089849,48.44416859356867,43.50382349674241,0.016923071651090082,1.0266581031462558
sh600004,白云机场,2013-07-11,,,,6.3,6.52,6.3,6.5,9.607710183812436,3.660092194721895,0.026856,4472628.0,28820368.0,0.003889,7475000000.0,7475000000.0,0,0,8.677738704756344,1.5424341725236466,4.121106683902411,0.9879444732209329,3.541843299458312,3.542969207174914,3.6001215647337537,3.71039141091323,3.794383234321787,,-0.0738892771410895,-0.08737221159611,0.02696586891004099,,63.289811961872566,48.989785781208866,91.88986432319996,,3.6063153761230176,4.001768102158267,3.210862650087768,66.66666666666666,52.77777777777778,68.73204866909091,53.36938245514927,45.877947819605325,0.03475512615384624,1.9727415281060319
sh600004,白云机场,2013-07-10,,,,6.18,6.34,6.18,6.33,9.356433797740324,3.5643675400658847,0.025932,1535657.0,9629624.0,0.001335,7279500000.0,7279500000.0,0,0,8.450782461708869,1.502093586473028,4.0133238937080415,0.96210592545977,3.5193197161983987,3.53001794617618,3.6063153761230176,3.718837311602848,3.7971048149760165,,-0.08880583593642033,-0.09074294520986512,0.003874218546889574,金叉,47.498820506911365,41.83977269087702,58.81691613898006,金叉,3.6220816023608498,4.017407466170109,3.2267557385515904,58.333333333333336,48.61111111111112,53.80505311052002,41.85463484532722,39.11129917138353,0.025931930489731414,0.8317260176512616
